time_seconds,time_minutes,output_run1_avg,output_run2_avg,output_run3_avg,final_avg
226,3.766667,5.631067,6.357164,5.171672,5.719968
227,3.783333,5.631067,6.357164,5.171672,5.719968
228,3.800000,5.631067,6.357164,5.171672,5.719968
229,3.816667,5.631067,6.357164,5.171672,5.719968
230,3.833333,5.631067,6.357164,5.171672,5.719968
231,3.850000,5.631067,6.357164,5.171672,5.719968
232,3.866667,5.631067,6.357164,5.171672,5.719968
233,3.883333,5.631067,6.357164,5.171672,5.719968
234,3.900000,5.631067,6.357164,5.171672,5.719968
235,3.916667,5.631067,6.357164,5.171672,5.719968
236,3.933333,5.631067,6.357164,5.171672,5.719968
237,3.950000,5.631067,6.357164,5.171672,5.719968
238,3.966667,5.631067,6.357164,5.171672,5.719968
239,3.983333,5.631067,6.357164,5.171672,5.719968
240,4.000000,5.631067,6.357164,5.171672,5.719968
241,4.016667,5.631067,6.357164,5.171672,5.719968
242,4.033333,5.631067,6.357164,5.171672,5.719968
243,4.050000,5.631067,6.357164,5.171672,5.719968
244,4.066667,5.631067,6.357164,5.171672,5.719968
245,4.083333,5.631067,6.357164,5.171672,5.719968
246,4.100000,5.631067,6.357164,5.171672,5.719968
247,4.116667,5.631067,6.357164,5.171672,5.719968
248,4.133333,5.631067,6.357164,5.171672,5.719968
249,4.150000,5.631067,6.357164,5.171672,5.719968
250,4.166667,5.631067,6.357164,5.171672,5.719968
251,4.183333,5.631067,6.357164,5.171672,5.719968
252,4.200000,5.631067,6.357164,5.171672,5.719968
253,4.216667,5.631067,6.357164,5.171672,5.719968
254,4.233333,5.631067,6.357164,5.171672,5.719968
255,4.250000,5.631067,6.357164,5.171672,5.719968
256,4.266667,5.631067,6.357164,5.171672,5.719968
257,4.283333,5.631067,6.357164,5.171672,5.719968
258,4.300000,5.631067,6.357164,5.171672,5.719968
259,4.316667,5.631067,6.357164,5.171672,5.719968
260,4.333333,5.631067,6.357164,5.171672,5.719968
261,4.350000,5.631067,6.357164,5.171672,5.719968
262,4.366667,5.631067,6.357164,5.171672,5.719968
263,4.383333,5.631067,6.357164,5.171672,5.719968
264,4.400000,5.631067,6.357164,5.171672,5.719968
265,4.416667,5.631067,6.357164,5.171672,5.719968
266,4.433333,5.631067,6.357164,5.171672,5.719968
267,4.450000,5.631067,6.357164,5.171672,5.719968
268,4.466667,5.631067,6.357164,5.171672,5.719968
269,4.483333,5.631067,6.357164,5.171672,5.719968
270,4.500000,5.631067,6.357164,5.171672,5.719968
271,4.516667,5.631067,6.357164,5.171672,5.719968
272,4.533333,5.631067,6.357164,5.171672,5.719968
273,4.550000,5.631067,6.357164,5.171672,5.719968
274,4.566667,5.631067,6.357164,5.171672,5.719968
275,4.583333,5.631067,6.357164,5.171672,5.719968
276,4.600000,5.631067,6.357164,5.171672,5.719968
277,4.616667,5.631067,6.357164,5.171672,5.719968
278,4.633333,5.631067,6.357164,5.171672,5.719968
279,4.650000,5.631067,6.357164,5.171672,5.719968
280,4.666667,5.631067,6.357164,5.171672,5.719968
281,4.683333,5.631067,6.357164,5.171672,5.719968
282,4.700000,5.631067,6.357164,5.171672,5.719968
283,4.716667,5.631067,6.357164,5.171672,5.719968
284,4.733333,5.631067,6.357164,5.171672,5.719968
285,4.750000,5.631067,6.357164,5.171672,5.719968
286,4.766667,5.631067,6.357164,5.171672,5.719968
287,4.783333,5.631067,6.357164,5.171672,5.719968
288,4.800000,5.631067,6.357164,5.171672,5.719968
289,4.816667,5.631067,6.357164,5.171672,5.719968
290,4.833333,5.631067,6.357164,5.171672,5.719968
291,4.850000,5.631067,6.357164,5.171672,5.719968
292,4.866667,5.631067,6.357164,5.171672,5.719968
293,4.883333,5.631067,6.357164,5.171672,5.719968
294,4.900000,5.631067,6.357164,5.171672,5.719968
295,4.916667,5.631067,6.357164,5.171672,5.719968
296,4.933333,5.631067,6.357164,5.171672,5.719968
297,4.950000,5.631067,6.357164,5.171672,5.719968
298,4.966667,5.631067,6.357164,5.171672,5.719968
299,4.983333,5.631067,6.357164,5.171672,5.719968
300,5.000000,5.631067,6.357164,5.171672,5.719968
301,5.016667,5.634587,6.357404,5.171912,5.721301
302,5.033333,5.634587,6.357404,5.171912,5.721301
303,5.050000,5.634587,6.357404,5.171912,5.721301
304,5.066667,5.634828,6.357404,5.171912,5.721381
305,5.083333,5.634828,6.357404,5.171912,5.721381
306,5.100000,5.634828,6.382428,5.185468,5.734241
307,5.116667,5.652590,6.407808,5.189644,5.750014
308,5.133333,5.663486,6.438418,5.207059,5.769654
309,5.150000,5.670235,6.441677,5.233264,5.781725
310,5.166667,5.670257,6.446598,5.270319,5.795725
311,5.183333,5.673334,6.452176,5.270560,5.798690
312,5.200000,5.673334,6.452679,5.271610,5.799207
313,5.216667,5.673706,6.452701,5.271675,5.799361
314,5.233333,5.673706,6.452701,5.271675,5.799361
315,5.250000,5.673749,6.452701,5.271675,5.799375
316,5.266667,5.673749,6.452701,5.271675,5.799375
317,5.283333,5.673749,6.453581,5.271675,5.799669
318,5.300000,5.673749,6.453581,5.271675,5.799669
319,5.316667,5.673749,6.453581,5.271675,5.799669
320,5.333333,5.673749,6.453581,5.271675,5.799669
